FID,LSOA21CD,LSOA21NM,borough,mean_AI,MEDIAN_AI,MIN_AI,MAX_AI,MEAN_PTAL_,Shape_Leng,Shape__Area,Shape__Length
2561,E01002694,Islington 019A,Islington,17.7972901788,16.4332750897,12.1211282784,26.7397013022,4,1634.07904412,70177.768661499,1634.07904412459
2562,E01002695,Islington 021A,Islington,30.3696465048,27.9431215221,19.3949523418,56.3517634022,6a,2452.15002773,118564.955032349,2452.15002772627
2563,E01002696,Islington 020A,Islington,27.3887669894,27.4641487986,12.291086042,40.3970818065,6a,2462.18225929,148094.715126038,2462.18225928961
2564,E01002697,Islington 019B,Islington,46.4790352377,41.5551294755,28.1972377417,64.8452556211,6b,2181.78718764,111358.592262268,2181.78718763782
2565,E01002698,Islington 017A,Islington,23.6373265282,24.2198834883,14.462125587,29.2567165587,5,1630.89844751,109972.176368713,1630.89844751215
2566,E01002699,Islington 017B,Islington,15.9095029993,17.2645836526,7.97339564888,19.0459862845,4,1945.06890673,91553.2764358521,1945.06890672522
2567,E01002700,Islington 017C,Islington,11.7251502556,11.4932598107,5.96166754189,21.2087049953,3,2747.44515442,179829.979240417,2747.44515442444
2568,E01002701,Islington 023A,Islington,30.3352104723,27.7601043572,24.8991553928,46.1659591469,6a,1418.90804953,82719.2991104126,1418.90804953091
2569,E01002702,Islington 023B,Islington,23.4180385592,25.6221007084,15.7042572592,27.9283684316,5,1792.03000864,115698.77192688,1792.03000863995
2570,E01002703,Islington 023C,Islington,35.5712926346,39.4753175855,18.1170791353,44.7669684889,6a,1713.81515332,86011.529586792,1713.81515331599
2571,E01002704,Islington 023D,Islington,66.6662346998,71.572761263,37.0558823998,94.0106484191,6b,3178.92105475,335034.360748291,3178.92105474716
2572,E01002706,Islington 023E,Islington,40.9838096845,44.1159511785,27.8907537264,52.4870095107,6b,2234.24755054,136214.825286865,2234.24755054126
2573,E01002707,Islington 022B,Islington,24.3821194943,26.9024273984,15.9504053681,31.709721043,5,1922.76992429,118935.910705566,1922.7699242864
2574,E01002708,Islington 015A,Islington,14.573428928,16.7339879004,4.35935309355,24.3706332485,3,3038.43984734,337333.913917542,3038.43984733815
2575,E01002709,Islington 019C,Islington,18.9828236365,12.0359230143,7.81086951491,44.5381046791,4,1710.51160535,80134.9865341187,1710.51160534561
2576,E01002710,Islington 019D,Islington,37.2435236457,45.1243840639,10.4827228919,60.8362033252,6a,2408.31131461,139133.106994629,2408.31131460764
2577,E01002711,Islington 021B,Islington,64.4449238096,63.465164544,54.5438955265,78.5746071429,6b,1827.28006031,151372.478118896,1827.28006030931
2578,E01002712,Islington 015B,Islington,24.8098976715,24.0389302107,22.0771872811,28.8171199252,5,2579.06953057,114859.562202454,2579.06953057439
2579,E01002713,Islington 015C,Islington,25.8920356798,26.0620210958,21.1042201568,31.3062838054,6a,2321.63574508,143235.051780701,2321.6357450769
2580,E01002714,Islington 017D,Islington,14.1133740017,12.2597580522,10.7447323926,21.5997782958,3,1840.70856546,114392.503204346,1840.7085654553
2581,E01002715,Islington 019E,Islington,16.0209824416,14.0737336376,12.579936968,21.3032421406,4,1447.92776749,57729.4132156372,1447.9277674946
2582,E01002716,Islington 014A,Islington,21.9741711514,22.2196946111,17.7834172266,24.8935224151,5,2281.3183004,130676.314666748,2281.31830039774
2583,E01002717,Islington 016A,Islington,23.150087444,23.7203149665,6.95790078217,30.231952724,5,1932.93268876,124253.416786194,1932.93268875938
2584,E01002718,Islington 014B,Islington,17.6310097078,17.8305861675,10.3115741743,21.9393387013,4,2128.70807699,99223.2502593994,2128.70807699441
2585,E01002719,Islington 016B,Islington,25.7195257831,27.5158985543,7.1453506708,31.9897676498,6a,2092.31174807,145896.599555969,2092.31174807089
2586,E01002720,Islington 016C,Islington,21.450685089,20.9569110947,17.9826209866,25.9788065607,5,1796.89730845,101364.635871887,1796.8973084454
2587,E01002721,Islington 014C,Islington,15.5161363544,15.5108167357,11.5841248046,20.7261253157,4,1811.37153005,121276.191627502,1811.37153004803
2588,E01002722,Islington 018A,Islington,16.3883977925,15.9015629967,14.9862135896,18.3808856367,4,1623.25401984,84606.3633728027,1623.25401984018
2589,E01002723,Islington 022C,Islington,32.933055402,32.4777642785,19.2503302729,46.1722605163,6a,1711.28974451,102568.4581604,1711.28974450593
2590,E01002724,Islington 022D,Islington,57.360723203,55.8881131827,41.1957229421,80.7162013065,6b,2971.31757989,263981.001449585,2971.31757989373
2591,E01002725,Islington 022E,Islington,45.2252151826,44.2375061294,40.5026969294,50.6091875298,6b,1259.2106451,61023.5566940308,1259.21064509875
2592,E01002726,Islington 022F,Islington,40.3296481967,43.8998604825,11.9845264637,54.1603474472,6b,2455.01428746,168616.224609375,2455.01428745559
2593,E01002727,Islington 021C,Islington,25.3913673298,25.6944972873,17.997771098,35.1607347216,6a,2201.714364,115815.589492798,2201.71436399579
2594,E01002728,Islington 021D,Islington,56.0891868847,57.1363068304,46.1467759783,65.5586118979,6b,1949.44956106,91036.2392272949,1949.44956105976
2595,E01002729,Islington 021E,Islington,32.6676061323,29.0881138468,16.4914702648,57.0068157132,6a,1974.11716689,131559.73614502,1974.11716688657
2596,E01002730,Islington 007A,Islington,35.0736137402,37.1678573733,21.6333342693,42.594861251,6a,2114.00317399,141092.057777405,2114.00317399263
2597,E01002732,Islington 005A,Islington,35.2029367217,34.2365929034,21.5179781175,45.4966843663,6a,2713.31153067,135473.812988281,2713.31153066582
2598,E01002733,Islington 007C,Islington,16.7196688423,17.0790175885,8.20504951839,24.7845147664,4,1878.61103074,89093.8771820068,1878.61103073729
